epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
62,6568.63,1.32271,0.78041,0.01302,0.84667,0.84848,0.88576,0.54729,1.40178,0.61774,0.01563,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,6673.48,1.31993,0.77505,0.01307,0.84741,0.83633,0.88435,0.5371,1.4087,0.62469,0.01573,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,6778.85,1.31232,0.77825,0.01299,0.86046,0.83238,0.88592,0.54147,1.40181,0.61333,0.0156,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,6884.63,1.30286,0.76954,0.01282,0.86297,0.84276,0.88759,0.54712,1.39047,0.61049,0.01547,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,6988.77,1.30866,0.77183,0.01273,0.87429,0.82511,0.88844,0.54877,1.39968,0.6109,0.01564,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,7093.77,1.28977,0.7722,0.01273,0.84868,0.84455,0.88904,0.54485,1.39481,0.6146,0.01553,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,7198.59,1.28478,0.74475,0.01258,0.86626,0.83188,0.88604,0.55133,1.38806,0.61768,0.01541,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,7307.54,1.28878,0.75327,0.01246,0.86829,0.8305,0.8884,0.54883,1.39202,0.60756,0.01546,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,7419.35,1.27833,0.73891,0.01247,0.86095,0.83552,0.8909,0.55076,1.38873,0.60299,0.01547,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,7525.54,1.27755,0.7408,0.01242,0.86795,0.82982,0.89134,0.55046,1.38329,0.60537,0.01531,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
