epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
82,7684.96,1.11607,0.68663,1.09635,0.84414,0.85086,0.89121,0.55307,1.29896,0.642,1.16134,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,7777.92,1.11523,0.68974,1.09823,0.84396,0.86235,0.89074,0.55198,1.29948,0.64371,1.16367,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,7869.6,1.0946,0.67893,1.08787,0.84963,0.85304,0.89128,0.55248,1.29828,0.64174,1.16178,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,7960.37,1.09232,0.675,1.08536,0.86267,0.84224,0.89218,0.55475,1.29426,0.638,1.15677,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,8051.53,1.08713,0.67238,1.08879,0.865,0.84428,0.8934,0.55326,1.29191,0.64014,1.15759,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,8142.86,1.09297,0.673,1.09014,0.85791,0.85281,0.89324,0.55087,1.30235,0.64237,1.16676,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,8233.6,1.07649,0.66129,1.08221,0.86447,0.85211,0.89307,0.55429,1.30191,0.63779,1.17012,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,8325.34,1.07354,0.66216,1.08483,0.86204,0.85637,0.89372,0.55308,1.29866,0.63459,1.16684,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,8418.6,1.06879,0.65803,1.07758,0.86626,0.85362,0.89397,0.55342,1.29692,0.63347,1.16552,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,8508.88,1.07144,0.55983,1.07145,0.87085,0.84749,0.89568,0.55489,1.30569,0.63672,1.17366,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,8592.25,1.03721,0.53637,1.05498,0.86756,0.84949,0.89742,0.55511,1.30461,0.63657,1.17264,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,8678.46,1.02465,0.52772,1.05004,0.87028,0.85076,0.89841,0.55701,1.2975,0.63482,1.1694,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,8766.37,1.00994,0.52363,1.04131,0.8609,0.8619,0.89941,0.55982,1.29398,0.63449,1.16822,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,8854.13,0.99796,0.51358,1.0378,0.84988,0.87243,0.90068,0.56284,1.2905,0.63152,1.16727,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,8941.43,0.99334,0.51072,1.03492,0.86777,0.85158,0.90165,0.56405,1.2866,0.63074,1.16425,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,9028.62,0.98502,0.50679,1.02837,0.85231,0.87441,0.90146,0.56524,1.28602,0.63108,1.16379,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,9116.59,0.97609,0.50056,1.02692,0.8641,0.86949,0.89902,0.56337,1.28518,0.63043,1.16287,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,9204.2,0.97109,0.49925,1.02496,0.8644,0.86903,0.9004,0.56404,1.28458,0.62953,1.16316,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,9289.94,0.96887,0.49921,1.02557,0.86677,0.86782,0.90067,0.56284,1.28554,0.62991,1.1642,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
